
y	mTm0	 Proton		Deuteron	Pion		Electron
-1.2     0.7125     0.882806 +- 0.0138242      0.0843179 +- 0.0339461     0.0328758 +- 0.0530588      0  
-1.2     0.7375     0.791393 +- 0.0147368      0.183734 +- 0.024862     0.024873 +- 0.0628744      0   
-1.2     0.7625     0.779847 +- 0.0154514      0.198574 +- 0.0251277     0.0215794 +- 0.0703716      0   
-1.2     0.7875     0.867368 +- 0.0161738      0.109222 +- 0.0351278     0.0234093 +- 0.0728833      0  
-1.2     0.8125     0.711753 +- 0.017663      0.271228 +- 0.0246578     0.0170187 +- 0.0880462      0  
-1.2     0.8375     0.693215 +- 0.0183683      0.293603 +- 0.0246699     0.0131821 +- 0.103038      0  
-1.2     0.8625     0.717042 +- 0.018525      0.270882 +- 0.02593     0.012076 +- 0.109594      0   
-1.2     0.8875     0.632238 +- 0.0210001      0.348935 +- 0.0256976     0.0188269 +- 0.0961458      0  
-1.2     0.9125     0.648155 +- 0.0215288      0.340828 +- 0.026778     0.0110173 +- 0.129331      0  
-1.2     0.9375     0.663852 +- 0.0220149      0.326696 +- 0.0280226     0.00945165 +- 0.143709      0  
-1.2     0.9625     0.611675 +- 0.0238016      0.373748 +- 0.028112     0.0145775 +- 0.122329      0  
-1.2     0.9875     0.668538 +- 0.0246479      0.321916 +- 0.0316158     0.00954647 +- 0.160441      0  
-1.1     0.0625     0.0691612 +- 0.34057      0.000249092 +- 5.48896     0.866537 +- 0.127128      0.0640524 +- 0.353045
-1.1     0.0875     0.41724 +- 0.016778      0.00013734 +- 0.77686     0.545313 +- 0.0153249      0.0373098 +- 0.0480014
-1.1     0.1125     0.490089 +- 0.00749341      4.40329e-05 +- 0.647637     0.489974 +- 0.007494      0.0198925 +- 0.0307711
-1.1     0.1375     0.554375 +- 0.00622514      1.42871e-05 +- 0.983567     0.433021 +- 0.00676308      0.0125894 +- 0.0333417
-1.1     0.1625     0.599501 +- 0.00600865      7.92511e-06 +- 1.30671     0.389306 +- 0.00694917      0.0111851 +- 0.0349764
-1.1     0.1875     0.649244 +- 0.00594432      2.3391e-06 +- 2.43859     0.348688 +- 0.00733502      0.00206597 +- 0.0821391
-1.1     0.2125     0.689756 +- 0.00597433      2.3405e-06 +- 2.495     0.309375 +- 0.00785262      0.000867226 +- 0.129672
-1.1     0.2375     0.720679 +- 0.00603222      2.01852e-06 +- 2.74778     0.278992 +- 0.00835865      0.000327062 +- 0.215901
-1.1     0.2625     0.750951 +- 0.00616658      2.3925e-06 +- 2.61088     0.248996 +- 0.00904477      5.15093e-05 +- 0.562706
-1.1     0.2875     0.777722 +- 0.00634375      3.70631e-06 +- 2.1795     0.22225 +- 0.00983978      2.37488e-05 +- 0.861015
-1.1     0.3125     0.805492 +- 0.00656047      5.69203e-06 +- 1.83669     0.194494 +- 0.0108594      8.53747e-06 +- 1.4997
